1 START
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
1 ADDNUM 3
1 ADDNUM 3.2
1 SUBNUM 7.6
1 LOADNUM 9
1 SUBNUM 1.8734
1 LOADNUM 3
1 LOADNUM 2.3
1 ADDNUM 5.7
